Year,Diplomatic Missions,International Agreements,Foreign Visits by Officials,Foreign Delegations to Ukraine,Trade Agreements Signed
2015,100,153,39,52,25
2016,101,114,39,39,47
2017,98,114,67,19,45
2018,97,157,21,45,48
2019,109,130,39,12,29
2020,100,152,70,16,24
2021,109,139,78,34,28
2022,84,116,43,47,45
2023,82,128,56,49,21
2024,89,122,31,52,33
2000,103,106,64,33,35
2001,89,110,29,22,24
2002,98,121,67,67,46
2003,84,141,63,50,25
2004,98,124,24,48,47
2005,100,143,52,65,18
2006,82,100,46,23,29
2007,98,134,40,34,9
2008,84,140,25,27,32
2009,99,121,48,37,33
2010,87,150,77,54,6
2011,101,126,41,69,42
2012,96,108,34,30,21
2013,106,128,25,39,29
2014,109,148,75,27,44
2015,87,134,59,16,11
2016,90,152,21,25,35
2017,89,102,55,57,44
2018,90,110,58,11,24
2019,104,158,21,30,9
2020,82,140,22,43,14
2021,93,136,72,20,42
2022,101,113,51,48,26
2023,100,134,55,18,13
2024,88,144,37,28,48
2000,107,104,70,10,39
2001,97,140,79,57,16
2002,91,152,49,14,29
2003,105,103,22,55,5
2004,108,107,41,14,25
2005,100,138,66,28,7
2006,95,150,39,59,21
2007,80,132,76,62,35
2008,101,134,45,15,22
2009,87,146,46,10,16
2010,97,139,28,34,43
2011,104,158,48,14,8
2012,107,145,24,68,6
2013,98,100,58,44,15
2014,81,109,47,69,43
2015,105,130,76,44,48
2016,81,144,57,15,7
2017,96,120,39,66,17
2018,89,106,63,27,17
2019,87,106,78,54,15
2020,99,103,36,36,21
2021,96,139,57,16,47
2022,89,113,29,51,14
2023,102,147,30,35,31
2024,94,153,70,66,33
2000,81,112,68,21,21
2001,92,105,58,40,20
2002,95,155,70,34,10
2003,89,110,76,63,33
2004,102,117,77,15,29
2005,82,100,60,19,23
2006,101,109,28,51,34
2007,87,103,68,56,48
2008,108,134,69,37,5
2009,87,120,42,24,27
2010,80,144,33,17,27
2011,92,144,63,48,28
2012,88,129,64,44,8
2013,92,141,68,42,49
2014,97,111,38,59,41
2015,106,134,56,31,12
2016,99,110,21,29,42
2017,103,136,79,26,5
2018,87,120,27,69,30
2019,105,112,31,66,14
2020,105,140,44,36,36
2021,96,112,55,40,28
2022,89,119,24,42,8
2023,81,115,26,54,42
2024,97,135,76,40,42
2000,80,102,63,48,29
2001,90,144,52,28,30
2002,100,111,25,25,14
2003,82,142,23,69,14
2004,95,122,23,58,33
2005,103,133,66,55,30
2006,91,113,45,26,33
2007,100,130,21,51,46
2008,99,115,21,37,32
2009,103,140,34,53,9
2010,92,136,20,25,27
2011,94,142,51,23,30
2012,99,114,64,34,20
2013,96,102,46,19,30
2014,96,159,25,22,35
2015,83,101,44,22,30
2016,95,112,46,55,42
2017,80,159,57,22,13
2018,90,113,60,16,13
2019,100,115,50,25,34
2020,94,139,34,50,14
2021,86,136,32,14,18
2022,109,102,32,41,49
2023,103,103,64,14,14
2024,95,110,34,67,41
2000,89,138,60,28,25
2001,89,122,31,61,22
2002,84,116,79,27,28
2003,101,106,57,58,21
2004,90,117,25,45,9
2005,85,154,37,13,15
2006,84,113,35,17,6
2007,97,107,31,19,32
2008,103,152,68,18,45
2009,103,112,36,61,28
2010,97,141,32,26,45
2011,93,102,46,32,40
2012,91,158,31,49,11
2013,87,151,53,18,18
2014,100,124,56,24,21
2015,88,157,71,26,39
2016,86,121,30,36,12
2017,83,126,48,14,16
2018,81,152,54,21,6
2019,100,154,22,19,8
2020,90,156,42,64,13
2021,100,136,57,22,18
2022,109,121,57,47,33
2023,98,109,61,52,39
2024,106,155,69,16,6
2000,109,119,62,67,17
2001,90,157,53,50,44
2002,97,113,35,19,24
2003,96,105,69,18,16
2004,84,116,41,18,30
2005,90,155,40,62,36
2006,109,129,43,62,38
2007,91,149,74,48,6
2008,88,151,38,67,44
2009,104,153,59,14,31
2010,102,149,38,37,10
2011,103,120,23,27,10
2012,95,132,64,30,33
2013,82,136,21,12,44
2014,89,132,70,61,46
2015,104,110,58,30,7
2016,80,148,54,22,12
2017,95,123,53,61,12
2018,93,126,55,51,40
2019,95,115,32,68,47
2020,106,133,46,69,32
2021,83,108,70,43,13
2022,106,154,46,27,12
2023,102,108,59,48,37
2024,88,136,47,61,49
2000,95,151,40,26,18
2001,103,145,24,56,32
2002,103,149,29,53,45
2003,97,105,61,68,37
2004,80,105,51,17,18
2005,89,115,38,64,46
2006,89,121,46,35,24
2007,81,141,68,64,9
2008,86,106,20,40,21
2009,96,158,67,38,35
2010,90,153,23,20,8
2011,104,159,24,47,30
2012,99,145,68,64,16
2013,103,111,75,21,39
2014,81,109,30,60,43
2015,92,153,52,67,19
2016,90,130,31,19,43
2017,90,103,21,35,25
2018,88,147,49,25,34
2019,85,145,79,41,34
2020,107,151,69,61,12
2021,87,104,48,13,35
2022,93,106,51,18,19
2023,109,147,27,42,25
2024,86,120,29,50,18
2000,90,153,52,64,49
2001,107,142,78,59,21
2002,100,139,28,55,38
2003,106,113,49,48,8
2004,83,124,36,64,19
2005,104,118,46,55,36
2006,102,153,68,11,30
2007,105,154,66,29,27
2008,109,113,79,45,30
2009,101,125,71,60,6
2010,86,128,71,19,18
2011,94,112,24,67,20
2012,85,128,34,32,16
2013,93,158,22,45,10
2014,96,142,45,50,42
2015,103,143,66,54,38
2016,89,159,25,63,25
2017,108,143,47,36,49
2018,87,149,31,45,39
2019,94,127,30,41,40
2020,96,119,31,30,44
2021,84,159,58,10,35
2022,107,128,56,16,11
2023,94,146,66,56,43
2024,104,106,72,40,41
2000,105,128,75,69,7
2001,101,127,46,34,44
2002,108,131,78,26,19
2003,109,105,31,36,19
2004,91,142,51,22,33
2005,99,125,32,41,29
2006,94,157,42,45,22
2007,86,104,44,45,41
2008,95,124,27,44,29
2009,82,135,32,52,8
2010,81,143,78,46,33
2011,87,137,27,17,44
2012,92,147,30,36,39
2013,81,141,43,49,12
2014,109,152,54,20,47
2015,96,114,74,35,29
2016,84,137,31,65,38
2017,94,146,48,19,8
2018,103,127,54,52,23
2019,96,154,33,29,9
2020,95,117,78,53,39
2021,104,109,29,17,34
2022,102,105,67,28,44
2023,91,135,79,48,7
2024,92,151,49,67,29
2000,86,153,25,54,13
2001,107,137,79,35,27
2002,80,137,37,56,47
2003,107,102,21,53,20
2004,105,100,46,15,26
2005,107,111,72,48,17
2006,103,129,68,37,34
2007,96,107,38,20,20
2008,101,115,25,19,15
2009,87,107,27,61,35
2010,100,102,55,61,30
2011,91,146,47,41,44
2012,96,144,45,34,38
2013,106,150,23,61,42
2014,108,145,57,56,23
2015,85,132,25,68,25
2016,109,139,78,23,40
2017,100,155,64,30,35
2018,97,139,67,61,33
2019,84,117,30,65,38
2020,104,122,69,25,8
2021,106,127,58,41,12
2022,105,149,57,29,33
2023,102,135,57,42,27
2024,81,128,38,44,42
2000,83,129,29,55,20
2001,93,116,48,27,9
2002,85,101,27,67,48
2003,99,135,69,56,10
2004,107,138,66,14,44
2005,101,142,70,43,31
2006,109,152,27,25,47
2007,100,116,70,34,15
2008,85,105,61,51,40
2009,107,108,37,53,27
2010,89,102,33,39,18
2011,80,155,64,41,39
2012,88,110,36,22,39
2013,86,121,26,67,22
2014,93,142,50,42,16
2015,83,108,48,24,21
2016,94,143,74,48,11
2017,109,123,62,36,42
2018,94,155,36,41,42
2019,93,122,71,46,44
2020,105,145,57,38,40
2021,99,120,72,66,30
2022,96,134,76,11,37
2023,97,122,45,49,16
2024,100,127,43,16,22
2000,93,144,64,35,32
2001,88,104,59,51,16
2002,101,135,45,34,23
2003,83,130,47,13,43
2004,104,124,34,46,41
2005,94,116,49,17,34
2006,92,109,58,58,40
2007,80,132,45,16,8
2008,86,111,43,34,37
2009,86,123,73,62,33
2010,91,119,22,32,44
2011,93,124,45,16,48
2012,102,138,27,24,12
2013,85,102,26,68,5
2014,104,124,79,14,7
2015,93,121,64,45,31
2016,81,149,78,12,5
2017,109,158,45,68,35
2018,84,119,26,38,17
2019,85,148,59,61,13
2020,91,145,27,49,10
2021,90,125,34,48,8
2022,90,121,68,46,21
2023,90,132,62,27,42
2024,93,151,54,50,35
2000,102,135,55,27,40
2001,101,144,34,46,25
2002,106,131,47,59,32
2003,96,129,75,65,35
2004,85,154,34,49,26
2005,99,139,72,44,13
2006,85,156,79,42,42
2007,103,144,61,25,7
2008,102,100,70,44,29
2009,99,134,54,67,26
2010,106,148,28,25,38
2011,97,154,79,63,6
2012,96,121,71,23,21
2013,89,133,23,53,41
2014,96,103,51,63,34
2015,100,121,44,39,49
2016,80,118,69,18,40
2017,105,122,22,21,27
2018,87,156,20,64,48
2019,82,119,26,15,11
2020,90,123,79,30,49
2021,80,135,29,41,37
2022,95,109,74,18,11
2023,105,106,26,36,9
2024,90,133,76,64,40
2000,109,126,78,17,31
2001,104,158,71,68,8
2002,87,139,35,66,43
2003,100,128,79,15,17
2004,103,153,72,55,35
2005,85,159,32,49,12
2006,82,128,71,23,39
2007,86,135,61,25,20
2008,83,157,60,69,9
2009,82,104,42,12,30
2010,82,155,67,51,28
2011,92,120,35,18,23
2012,104,133,72,65,14
2013,85,104,26,27,39
2014,80,147,39,57,11
2015,103,147,23,23,27
2016,87,122,58,52,40
2017,91,135,20,17,21
2018,95,149,23,54,13
2019,99,148,73,44,11
2020,98,150,58,30,35
2021,94,115,33,69,10
2022,92,137,79,22,36
2023,96,129,54,60,34
2024,107,119,23,19,23
2000,96,118,45,15,34
2001,99,116,23,33,18
2002,99,143,30,45,9
2003,93,149,76,35,26
2004,83,142,68,54,11
2005,88,114,61,53,39
2006,102,105,30,41,14
2007,84,127,72,52,24
2008,80,114,26,61,21
2009,92,105,39,12,11
2010,82,159,43,55,32
2011,94,144,32,12,42
2012,81,119,52,61,22
2013,90,108,25,24,13
2014,101,103,74,27,9
2015,98,127,54,41,5
2016,106,123,54,66,20
2017,86,119,25,17,18
2018,100,117,22,23,46
2019,105,159,58,61,20
2020,98,146,49,39,20
2021,105,148,63,40,41
2022,86,120,67,24,11
2023,101,138,68,34,33
2024,93,133,30,58,8
2000,99,110,48,39,7
2001,80,133,34,61,36
2002,95,137,71,20,47
2003,104,109,37,48,42
2004,93,110,51,61,24
2005,82,123,67,43,13
2006,83,138,22,27,38
2007,98,101,57,46,41
2008,96,140,44,59,26
2009,87,124,31,66,5
2010,96,150,73,58,24
2011,94,112,44,33,28
2012,103,121,40,69,24
2013,109,117,51,40,38
2014,94,105,61,41,37
2015,94,132,63,11,19
2016,94,100,23,28,44
2017,106,134,72,63,8
2018,104,145,30,59,43
2019,95,133,32,60,6
2020,97,111,57,33,46
2021,109,145,24,40,15
2022,107,159,30,26,5
2023,102,137,23,49,49
2024,107,148,75,46,15
2000,101,158,75,33,24
2001,80,133,53,33,15
2002,80,104,43,28,18
2003,95,157,66,62,10
2004,93,101,69,20,20
2005,87,149,72,69,49
2006,84,128,32,44,48
2007,107,137,37,38,49
2008,84,133,52,68,44
2009,86,115,24,14,46
2010,94,149,29,33,29
2011,87,150,73,24,21
2012,96,101,51,29,45
2013,86,154,69,47,19
2014,83,111,23,42,12
2015,108,135,40,10,36
2016,86,157,27,24,44
2017,108,123,40,12,40
2018,106,119,31,49,16
2019,107,124,71,33,15
2020,80,149,29,47,42
2021,98,107,41,21,24
2022,91,116,79,22,13
2023,81,101,59,33,9
2024,106,142,42,16,20
2000,91,144,43,44,49
2001,84,110,59,31,25
2002,109,153,22,68,24
2003,81,116,77,50,17
2004,107,158,66,63,8
2005,84,116,43,40,12
2006,82,122,48,31,40
2007,102,102,79,41,29
2008,89,140,30,50,39
2009,87,124,37,61,26
2010,106,112,62,41,6
2011,104,149,38,22,33
2012,86,158,21,58,31
2013,101,126,27,60,5
2014,95,128,21,64,12
2015,105,133,44,13,17
2016,86,108,23,20,48
2017,98,127,70,56,28
2018,98,153,38,19,46
2019,84,138,76,42,19
2020,96,145,46,67,7
2021,93,146,53,46,13
2022,84,108,65,43,10
2023,105,156,38,64,41
2024,104,148,54,36,11
2000,91,105,59,66,6
2001,92,136,45,52,32
2002,88,141,75,19,48
2003,80,116,74,49,32
2004,88,155,61,20,20
2005,98,158,21,61,10
2006,107,156,39,69,26
2007,92,112,64,57,49
2008,107,159,43,53,40
2009,80,130,41,60,41
2010,89,125,56,49,31
2011,93,125,49,39,46
2012,82,125,61,59,45
2013,93,135,51,46,35
2014,91,111,43,43,23
2015,98,104,23,56,8
2016,108,110,61,44,24
2017,85,134,64,47,42
2018,88,102,62,38,39
2019,92,118,64,69,38
2020,92,124,74,22,6
2021,88,102,48,61,24
2022,108,146,40,40,12
2023,100,117,66,45,20
2024,97,126,54,19,39
2000,107,101,23,33,28
2001,96,101,41,18,13
2002,93,125,40,60,25
2003,107,105,43,26,35
2004,98,150,77,55,20
2005,101,144,63,65,40
2006,100,110,20,18,25
2007,92,102,65,10,23
2008,91,104,33,42,42
2009,90,102,20,20,5
2010,106,152,61,14,8
2011,101,154,45,55,7
2012,101,101,21,58,32
2013,87,111,61,33,14
2014,94,115,52,18,18
2015,95,126,41,65,47
2016,100,127,32,57,44
2017,85,104,79,53,25
2018,90,105,51,40,41
2019,104,127,55,55,42
2020,88,120,20,32,11
2021,100,107,53,49,6
2022,92,130,20,69,49
2023,103,152,45,40,7
2024,98,144,73,49,12
2000,106,156,58,36,36
2001,108,106,77,64,23
2002,83,143,28,49,27
2003,89,130,73,50,46
2004,87,126,68,35,45
2005,108,157,71,14,5
2006,108,134,27,10,43
2007,96,132,78,30,5
2008,89,126,36,28,32
2009,102,149,42,17,17
2010,84,142,56,30,10
2011,109,135,45,37,41
2012,88,138,48,55,10
2013,87,155,24,13,46
2014,81,129,75,24,46
2015,93,118,33,69,23
2016,83,118,66,21,48
2017,102,122,67,56,44
2018,103,111,40,26,32
2019,95,129,60,65,29
2020,96,158,50,30,34
2021,84,122,54,13,42
2022,97,116,72,51,18
2023,88,142,24,19,45
2024,99,139,35,28,35
2000,106,120,43,17,31
2001,99,156,37,12,12
2002,95,108,64,52,20
2003,95,123,38,44,44
2004,80,118,74,15,38
2005,99,104,65,57,31
2006,91,128,52,19,47
2007,104,100,49,55,37
2008,91,101,35,34,21
2009,93,117,62,23,31
2010,95,100,72,48,46
2011,106,136,28,54,9
2012,90,133,74,57,6
2013,86,120,61,16,21
2014,90,147,77,60,13
2015,92,134,61,25,22
2016,102,107,61,37,25
2017,90,105,50,40,37
2018,94,139,57,27,34
2019,109,121,43,64,36
2020,91,104,32,13,25
2021,95,150,68,64,10
2022,106,138,37,48,10
2023,97,115,31,35,21
2024,85,152,55,17,25
2000,99,137,56,16,32
2001,90,103,23,33,29
2002,81,139,36,50,46
2003,107,118,68,11,6
2004,101,149,23,47,12
2005,108,119,78,44,30
2006,80,138,61,29,21
2007,108,152,22,30,16
2008,94,142,66,25,20
2009,103,106,40,58,30
2010,109,130,38,44,46
2011,85,111,40,12,38
2012,102,104,71,55,15
2013,80,110,43,36,5
2014,100,111,31,37,38
2015,90,108,60,30,10
2016,97,116,78,25,9
2017,87,112,45,19,37
2018,108,152,36,50,23
2019,103,131,78,31,34
2020,98,134,20,22,31
2021,84,105,46,32,48
2022,86,134,21,23,33
2023,81,141,76,62,12
2024,83,101,61,33,6
2000,89,144,28,14,26
2001,108,140,66,37,8
2002,85,141,27,32,30
2003,92,144,76,18,23
2004,99,121,50,56,18
2005,105,120,55,43,43
2006,102,109,67,43,12
2007,101,122,37,43,24
2008,105,113,24,63,31
2009,106,109,66,29,12
2010,103,113,48,34,26
2011,87,139,70,60,13
2012,106,113,31,36,16
2013,109,126,42,22,46
2014,87,145,78,56,21
2015,103,135,20,12,41
2016,99,156,57,36,16
2017,80,127,41,66,27
2018,90,132,50,24,22
2019,87,101,66,22,29
2020,109,124,23,16,40
2021,96,131,31,49,28
2022,108,141,72,13,6
2023,94,130,31,41,38
2024,99,116,31,14,43
2000,81,141,68,40,35
2001,95,103,76,53,30
2002,86,132,77,15,26
2003,94,136,62,56,38
2004,89,130,27,53,5
2005,80,109,62,65,12
2006,96,118,38,65,38
2007,86,132,52,42,35
2008,92,103,29,62,5
2009,84,133,78,54,21
2010,101,135,43,69,7
2011,109,103,38,38,9
2012,103,102,44,55,12
2013,97,142,41,20,42
2014,88,123,47,50,30
2015,87,101,62,36,35
2016,98,114,47,15,46
2017,108,100,51,33,28
2018,97,133,42,44,37
2019,83,153,35,47,17
2020,98,138,23,50,29
2021,101,153,60,60,5
2022,86,116,21,21,33
2023,109,146,78,60,39
2024,80,139,71,29,22
2000,88,123,58,33,44
2001,87,143,35,13,26
2002,82,103,71,55,13
2003,91,123,24,60,44
2004,86,142,28,13,34
2005,85,103,38,16,30
2006,96,158,22,46,34
2007,92,154,41,23,35
2008,85,105,72,49,26
2009,107,102,34,27,44
2010,84,137,72,14,37
2011,104,125,31,38,23
2012,87,107,43,29,22
2013,107,105,25,12,8
2014,105,127,57,16,31
2015,95,156,22,18,22
2016,92,150,31,43,16
2017,87,108,59,65,10
2018,86,142,72,19,8
2019,88,109,36,31,32
2020,98,158,78,63,39
2021,106,110,27,19,32
2022,106,107,37,10,40
2023,90,116,68,45,27
2024,101,139,67,12,38
2000,97,148,77,50,37
2001,106,127,72,45,46
2002,108,116,25,48,49
2003,100,102,45,55,42
2004,101,120,60,62,26
2005,102,103,47,69,18
2006,86,113,55,42,41
2007,108,100,33,16,23
2008,96,151,34,16,42
2009,101,157,36,13,34
2010,95,145,76,14,7
2011,96,119,25,58,12
2012,84,128,55,12,22
2013,92,134,74,19,36
2014,109,112,63,40,31
2015,104,150,40,32,10
2016,108,147,32,10,9
2017,104,135,73,37,45
2018,109,103,23,48,18
2019,95,118,71,56,32
2020,107,112,74,28,27
2021,102,109,26,10,19
2022,92,150,39,50,10
2023,99,137,44,66,45
2024,100,148,56,12,30
2000,82,114,27,38,8
2001,100,101,25,54,5
2002,99,132,37,49,27
2003,109,109,73,35,21
2004,97,103,47,24,9
2005,85,146,59,64,16
2006,92,113,26,18,29
2007,86,135,61,51,6
2008,99,127,70,25,25
2009,91,116,74,18,44
2010,91,150,53,15,14
2011,96,140,56,50,19
2012,82,133,22,54,22
2013,82,101,38,46,36
2014,87,130,71,54,47
2015,96,107,69,25,31
2016,103,142,71,29,10
2017,91,112,36,36,12
2018,105,156,65,25,24
2019,87,114,45,15,8
2020,81,112,40,59,39
2021,87,124,71,19,24
2022,108,124,29,13,10
2023,108,128,41,53,42
2024,82,111,74,56,10
2000,85,140,31,33,39
2001,102,121,65,15,31
2002,96,111,42,68,43
2003,81,115,44,55,39
2004,100,118,26,32,6
2005,86,155,57,31,25
2006,80,102,57,42,5
2007,107,129,39,41,27
2008,83,138,22,35,45
2009,106,133,43,67,6
2010,87,150,45,34,41
2011,105,141,43,26,31
2012,89,138,55,29,11
2013,99,101,27,24,29
2014,93,155,73,13,6
2015,100,138,71,29,19
2016,98,123,25,51,46
2017,96,118,54,67,10
2018,102,110,70,41,10
2019,94,103,69,29,17
2020,104,140,27,63,30
2021,85,130,79,23,37
2022,95,146,72,26,30
2023,86,107,39,63,33
2024,104,114,78,17,22
2000,109,154,70,68,34
2001,102,148,30,31,21
2002,95,129,45,21,18
2003,93,100,34,31,19
2004,84,144,54,52,25
2005,88,118,26,33,20
2006,84,100,41,26,12
2007,89,145,48,10,42
2008,99,112,35,57,42
2009,103,142,68,59,32
2010,81,121,68,36,29
2011,106,121,49,54,33
2012,106,131,30,53,21
2013,80,109,54,13,31
2014,96,120,64,13,43
2015,92,109,37,34,24
2016,89,111,44,10,9
2017,86,128,70,55,26
2018,105,152,60,48,18
2019,81,111,67,42,31
2020,91,120,46,39,48
2021,85,147,45,34,16
2022,107,116,20,66,27
2023,94,144,79,43,16
2024,105,131,29,23,33
2000,98,106,36,26,7
2001,85,121,72,19,35
2002,100,105,33,31,37
2003,108,157,47,44,40
2004,88,108,56,41,33
2005,92,132,67,51,36
2006,96,122,57,59,20
2007,109,151,60,64,36
2008,94,157,73,66,35
2009,93,114,56,14,30
2010,83,100,37,20,41
2011,104,110,55,34,43
2012,85,133,61,54,18
2013,109,154,57,26,34
2014,93,159,20,48,27
2015,80,104,79,18,16
2016,95,116,41,43,37
2017,84,117,25,21,20
2018,96,107,60,64,31
2019,85,112,75,47,47
2020,80,145,78,51,35
2021,109,144,36,66,22
2022,93,146,34,60,21
2023,97,100,43,58,9
2024,82,125,64,51,36
2000,81,140,31,55,45
2001,82,105,54,35,48
2002,105,125,60,42,33
2003,94,110,53,20,17
2004,98,118,22,57,47
2005,91,118,60,17,10
2006,95,113,38,18,25
2007,80,150,22,50,39
2008,99,124,65,30,13
2009,109,153,34,28,38
2010,82,123,64,56,17
2011,92,153,23,48,49
2012,91,108,54,62,48
2013,83,143,42,41,5
2014,99,136,76,19,48
2015,98,120,72,54,42
2016,101,103,75,31,11
2017,91,123,65,20,10
2018,87,110,62,50,27
2019,82,118,53,38,32
2020,94,157,52,45,7
2021,94,136,57,61,9
2022,98,154,59,69,18
2023,100,107,68,36,34
2024,96,132,30,27,38
2000,98,136,41,29,7
2001,102,156,56,52,35
2002,89,114,27,15,7
2003,83,138,36,20,44
2004,91,116,47,16,43
2005,85,140,36,37,38
2006,105,113,57,64,48
2007,92,135,65,55,42
2008,94,100,70,64,42
2009,87,131,43,66,36
2010,103,121,57,19,27
2011,107,112,49,46,31
2012,92,101,28,58,20
2013,107,113,56,21,46
2014,94,137,67,36,36
2015,98,155,71,56,49
2016,102,107,35,44,36
2017,103,152,64,52,45
2018,95,123,30,49,36
2019,80,154,21,40,35
2020,102,146,44,38,25
2021,106,157,47,53,23
2022,106,147,33,10,29
2023,83,105,54,23,33
2024,84,110,33,20,26
2000,100,148,55,10,36
2001,98,112,34,46,35
2002,89,145,59,13,14
2003,107,109,40,60,23
2004,103,119,59,31,39
2005,103,108,36,52,10
2006,97,133,70,45,21
2007,80,110,26,38,5
2008,93,139,67,66,38
2009,93,117,40,41,34
2010,97,106,74,62,40
2011,95,133,26,59,30
2012,87,139,38,19,26
2013,97,134,29,61,18
2014,81,108,29,20,16
2015,88,100,48,32,10
2016,101,107,67,18,31
2017,94,155,63,56,24
2018,86,102,56,26,44
2019,90,147,78,48,5
2020,87,105,33,62,29
2021,100,101,39,33,17
2022,82,110,48,21,42
2023,84,151,26,18,20
2024,100,146,29,28,24
2000,90,147,45,65,20
2001,86,145,75,20,26
2002,107,110,77,50,19
2003,104,125,51,13,46
2004,99,103,43,12,12
2005,104,142,58,26,30
2006,100,136,76,57,34
2007,83,118,53,32,43
2008,99,151,77,63,33
2009,84,146,77,11,25
2010,100,102,25,13,46
2011,94,103,78,22,5
2012,107,151,77,44,29
2013,106,158,35,15,32
2014,87,120,41,56,25
2015,102,140,47,16,36
2016,81,104,58,56,7
2017,109,145,50,54,43
2018,88,148,21,44,16
2019,93,137,65,54,31
2020,92,123,54,54,26
2021,108,100,77,69,32
2022,83,159,58,45,38
2023,102,115,23,17,45
2024,87,146,30,43,47
2000,98,153,49,28,16
2001,88,124,23,58,36
2002,91,130,76,23,44
2003,87,138,46,57,11
2004,92,115,59,30,18
2005,88,147,79,34,19
2006,106,119,66,60,33
2007,103,122,53,54,34
2008,91,143,78,10,37
2009,91,111,51,69,26
2010,82,149,30,42,24
2011,101,100,31,42,17
2012,91,108,35,64,29
2013,100,103,52,48,8
2014,88,117,37,46,19
2015,99,153,51,65,28
2016,80,119,25,41,40
2017,92,145,79,27,41
2018,99,153,67,55,34
2019,100,109,33,19,18
2020,104,119,34,22,40
2021,83,111,57,46,32
2022,82,108,27,58,36
2023,91,125,54,21,39
2024,99,120,39,28,43
2000,88,154,56,16,7
2001,101,131,72,14,10
2002,102,137,21,40,38
2003,85,102,38,55,27
2004,94,116,66,69,23
2005,104,135,62,24,31
2006,95,112,50,30,42
2007,99,119,55,25,35
2008,97,125,26,10,21
2009,88,119,62,48,16
2010,95,111,78,61,8
2011,90,122,67,17,37
2012,88,140,79,41,38
2013,85,138,70,52,6
2014,87,159,25,26,23
2015,104,143,73,32,38
2016,81,140,35,59,31
2017,107,140,46,60,46
2018,86,103,29,53,30
2019,102,137,44,48,6
2020,82,146,77,69,21
2021,105,114,39,63,41
2022,107,136,76,20,45
2023,101,114,38,26,11
2024,81,115,22,52,29
2000,104,148,30,66,48
2001,104,116,22,63,40
2002,106,110,59,44,19
2003,108,121,39,30,17
2004,87,147,74,69,29
2005,87,129,56,42,15
2006,84,157,44,35,16
2007,95,158,54,64,44
2008,84,116,59,25,21
2009,82,130,20,17,29
2010,105,153,54,66,38
2011,96,102,29,48,5
2012,98,119,74,46,22
2013,82,140,39,62,29
2014,82,134,42,21,25
2015,91,137,25,21,9
2016,99,154,70,64,42
2017,85,114,79,48,17
2018,86,135,31,34,7
2019,93,100,25,65,15
2020,97,117,50,41,35
2021,107,157,41,45,5
2022,95,149,45,41,44
2023,109,110,38,22,12
2024,95,127,39,14,39
2000,101,104,70,20,35
2001,103,158,79,26,41
2002,88,135,29,69,7
2003,89,102,79,64,27
2004,101,107,53,36,8
2005,86,158,25,47,40
2006,80,119,41,19,36
2007,88,137,68,12,32
2008,88,150,60,67,31
2009,109,128,71,29,44
2010,99,125,67,27,27
2011,95,121,55,33,13
2012,87,139,27,40,5
2013,108,123,50,46,24
2014,107,119,59,61,15
2015,82,139,48,63,20
2016,92,117,49,66,14
2017,102,111,59,34,18
2018,87,149,46,31,8
2019,92,119,50,47,25
2020,90,157,74,10,42
2021,91,102,51,22,13
2022,85,111,41,14,41
2023,104,122,69,58,37
2024,96,108,75,61,26
2000,101,126,60,37,10
2001,93,137,52,36,35
2002,83,104,62,25,21
2003,90,150,56,25,20
2004,99,143,48,36,18
2005,100,125,50,49,10
2006,94,147,22,28,9
2007,104,152,49,51,8
2008,89,143,28,18,35
2009,107,103,22,64,45
2010,81,122,35,23,15
2011,109,104,79,28,35
2012,92,127,67,34,20
2013,97,134,76,54,41
2014,93,153,31,36,43
2015,107,100,43,66,5
2016,108,133,39,15,42
2017,106,140,53,14,19
2018,105,150,35,19,7
2019,90,137,73,18,13
2020,81,103,73,54,46
2021,100,106,49,30,15
2022,83,125,22,60,40
2023,98,132,67,23,10
2024,91,152,25,53,41
2000,101,104,70,30,30
2001,101,155,53,20,43
2002,83,105,38,24,47
2003,108,123,55,28,25
2004,99,159,49,33,7
2005,81,152,69,26,33
2006,96,132,53,69,20
2007,84,151,48,48,29
2008,99,151,72,47,22
2009,109,151,74,32,41
2010,96,138,61,30,11
2011,102,134,55,51,38
2012,92,154,70,38,48
2013,90,101,21,59,43
2014,83,137,71,37,39
2015,82,140,27,21,22
2016,104,156,58,26,28
2017,86,113,70,39,40
2018,87,102,59,21,41
2019,80,115,36,16,47
2020,85,117,53,23,44
2021,84,152,68,56,28
2022,98,109,43,24,9
2023,81,101,66,47,25
2024,92,128,77,46,36
2000,101,105,60,22,44
2001,107,140,54,21,21
2002,92,136,32,55,15
2003,104,137,45,60,39
2004,83,140,70,32,17
2005,101,101,75,23,20
2006,88,101,22,36,35
2007,82,148,68,53,35
2008,97,139,65,44,23
2009,103,105,57,10,29
2010,96,159,45,18,36
2011,89,117,67,31,27
2012,95,105,64,35,46
2013,97,105,54,54,43
2014,89,157,71,60,14
2015,95,117,72,64,27
2016,83,138,76,38,14
2017,102,142,63,65,5
2018,86,104,39,68,20
2019,105,113,50,48,43
2020,92,147,26,30,41
2021,98,126,42,67,29
2022,95,100,24,47,14
2023,109,120,53,22,9
2024,95,154,40,18,34
2000,105,154,75,23,30
2001,101,147,49,53,29
2002,108,111,53,66,8
2003,107,121,66,52,45
2004,104,109,35,37,7
2005,98,148,29,43,5
2006,90,135,76,23,38
2007,90,159,62,28,27
2008,91,132,21,27,31
2009,100,143,65,42,17
2010,103,147,26,33,26
2011,102,109,52,45,25
